description;historicVolatolity;implicitVolatility;createdAt
GFGC1033OC;0;0.000877437;9/8/2023 11:28
GFGC1033OC;0;0.000881396;9/8/2023 11:29
GFGC1033OC;0;0.00146;9/8/2023 11:30
GFGC1033OC;0;0.00146845;9/8/2023 11:32
GFGC1033OC;0;0.00147117;9/8/2023 11:33
GFGC1033OC;0;0.00146847;9/8/2023 11:34
GFGC1033OC;0;0.00145961;9/8/2023 11:35
GFGC1033OC;0;0.00146945;9/8/2023 11:37
GFGC1033OC;0;0.00146958;9/8/2023 11:38
GFGC1033OC;0;0.00146631;9/8/2023 11:39
GFGC1033OC;0;0.00146022;9/8/2023 11:41
GFGC1033OC;0;0.00146853;9/8/2023 11:42
GFGC1033OC;0;0.00146805;9/8/2023 11:43
GFGC1033OC;0;0.00146047;9/8/2023 11:44
GFGC1033OC;0;0.00146287;9/8/2023 11:45
GFGC1033OC;0;0.00146213;9/8/2023 11:46
GFGC1033OC;0;0.00146155;9/8/2023 11:47
GFGC1033OC;0;0.00146216;9/8/2023 11:48
GFGC1033OC;0;0.00145718;9/8/2023 11:49
GFGC1033OC;0;0.00145879;9/8/2023 11:50
GFGC1033OC;0;0.00145958;9/8/2023 11:52
GFGC1033OC;0;0.00146219;9/8/2023 11:53
GFGC1033OC;0;0.0014624;9/8/2023 11:54
GFGC1033OC;0;0.00146519;9/8/2023 11:56
GFGC1033OC;0;0.00145975;9/8/2023 11:58
GFGC1033OC;0;0.00146515;9/8/2023 11:59
GFGC1033OC;0;0.00145389;9/8/2023 12:00
GFGC1033OC;0;0.00144198;9/8/2023 12:01
GFGC1033OC;0;0.0014388;9/8/2023 12:02
GFGC1033OC;0;0.00145825;9/8/2023 12:03
GFGC1033OC;0;0.00146072;9/8/2023 12:04
GFGC1033OC;0;0.00146511;9/8/2023 12:05
GFGC1033OC;0;0.00146447;9/8/2023 12:06
GFGC1033OC;0;0.00147147;9/8/2023 12:14
GFGC1033OC;0;0.00146864;9/8/2023 12:16
GFGC1033OC;0;0.00146757;9/8/2023 12:18
GFGC1033OC;0;0.00146028;9/8/2023 12:21
GFGC1033OC;0;0.00146192;9/8/2023 12:22
GFGC1033OC;0;0.000593273;9/8/2023 12:43
GFGC1033OC;0;0.000590728;9/8/2023 12:47
GFGC1033OC;0;0.000576493;9/8/2023 13:00
GFGC1033OC;0;0.00057486;9/8/2023 13:01
GFGC1033OC;0;0.000568827;9/8/2023 13:21
GFGC1033OC;0;0.000800344;9/8/2023 13:22
GFGC1033OC;0;0.000562766;9/8/2023 13:23
GFGC1033OC;0;0.00077307;9/8/2023 13:29
GFGC1033OC;0;0.00186042;9/8/2023 13:31
GFGC1033OC;0;0.000763976;9/8/2023 13:32
GFGC1033OC;0;0.000529689;9/8/2023 13:33
GFGC1033OC;0;0.000547265;9/8/2023 13:52
GFGC1033OC;0;0.000542415;9/8/2023 13:53
GFGC1033OC;0;0.000545314;9/8/2023 13:54
GFGC1033OC;0;0.000547783;9/8/2023 13:58
GFGC1033OC;0;0.000546411;9/8/2023 14:01
GFGC1033OC;0;0.000543917;9/8/2023 14:02
GFGC1033OC;0;0.00077675;9/8/2023 14:08
GFGC1033OC;0;0.000734153;9/8/2023 14:47
GFGC1033OC;0;0.00175267;9/8/2023 14:54
GFGC1033OC;0;0.000738197;9/8/2023 14:56
GFGC1033OC;0;0.000729706;9/8/2023 15:12
GFGC1033OC;0.0462743;0.00072811;9/8/2023 15:14
GFGC1033OC;0.0445202;0.000716117;9/8/2023 15:39
GFGC1033OC;0.0445517;0.000720879;9/8/2023 15:43
GFGC1033OC;0.0445909;0.00171657;9/8/2023 15:44
GFGC1033OC;0.0449109;0.000725367;9/8/2023 15:53
GFGC1033OC;0.0467379;0.00174318;9/8/2023 15:54
GFGC1033OC;0.0467383;0.000726982;9/8/2023 16:05
GFGC1033OC;0.0468113;0.000700295;9/8/2023 16:19
GFGC1033OC;0.0468372;0.00068685;9/8/2023 16:26
GFGC1033OC;0.0468371;0.000679322;9/8/2023 16:40
GFGC1033OC;0.0468165;0.000679981;9/8/2023 16:45
GFGC1033OC;0.0468164;0.000689329;9/8/2023 16:46
GFGC1033OC;0.0468173;0.000695168;9/8/2023 16:48
GFGC1033OC;0.0468292;0.000693509;9/8/2023 16:49
GFGC1033OC;0.0468325;0.00071071;9/8/2023 16:51
GFGC1033OC;0.0472317;0.00074038;9/8/2023 17:00
GFGC1033OC;0.0532942;0.000732408;9/11/2023 11:33
GFGC1033OC;0.0532903;0.000623998;9/11/2023 12:02
GFGC1033OC;0.053306;0.000654197;9/11/2023 12:27
GFGC1033OC;0.0532862;0.00065967;9/11/2023 13:01
GFGC1033OC;0.0588798;0.000690129;9/11/2023 13:31
GFGC1033OC;0.0588797;0.000649028;9/11/2023 14:53
GFGC1033OC;0.0588809;0.0010484;9/11/2023 15:11
GFGC1033OC;0.058881;0.00104706;9/11/2023 15:12
GFGC1033OC;0.0588811;0.00104727;9/11/2023 15:13
GFGC1033OC;0.0588761;0.00105845;9/11/2023 15:27
GFGC1033OC;0.058876;0.00105172;9/11/2023 15:29
GFGC1033OC;0.0588817;0.00105508;9/11/2023 15:30
GFGC1033OC;0.0592861;0.00105638;9/11/2023 15:33
GFGC1033OC;0.0592823;0.0010677;9/11/2023 15:34
GFGC1033OC;0.0592767;0.00106256;9/11/2023 15:42
GFGC1033OC;0.0592982;0.00106623;9/11/2023 15:43
GFGC1033OC;0.0592908;0.00105741;9/11/2023 15:46
GFGC1033OC;0.0592946;0.00106092;9/11/2023 15:49
GFGC1033OC;0.0592948;0.00105755;9/11/2023 15:54
GFGC1033OC;0.0592886;0.00105662;9/11/2023 15:55
GFGC1033OC;0.0592901;0.00106157;9/11/2023 15:59
GFGC1033OC;0.0586178;0.00106341;9/11/2023 16:00
GFGC1033OC;0.0585546;0.000661281;9/11/2023 16:18
GFGC1033OC;0.0588764;0.00105963;9/11/2023 16:27
GFGC1033OC;0.0588772;0.00106761;9/11/2023 16:28
GFGC1033OC;0.0587275;0.0010793;9/11/2023 16:31
GFGC1033OC;0.0587297;0.00107996;9/11/2023 16:32
GFGC1033OC;0.0577135;0.0010785;9/11/2023 16:33
GFGC1033OC;0.0582532;0.00108812;9/11/2023 16:34
GFGC1033OC;0.0576946;0.00106937;9/11/2023 16:35
GFGC1033OC;0.0589469;0.000655356;9/11/2023 17:00
GFGC1033OC;0.0671839;0.00067603;9/12/2023 11:18
GFGC1033OC;0.0651408;0.000691368;9/12/2023 11:28
GFGC1033OC;0.0649835;0.000692803;9/12/2023 11:29
GFGC1033OC;0.0649843;0.000695183;9/12/2023 11:31
GFGC1033OC;0.0649672;0.000721804;9/12/2023 11:37
GFGC1033OC;0.0650247;0.000729161;9/12/2023 11:38
GFGC1033OC;0.0650247;0.000741621;9/12/2023 11:43
GFGC1033OC;0.0676302;0.000746078;9/12/2023 11:47
GFGC1033OC;0.066212;0.00188539;9/12/2023 12:05
GFGC1033OC;0.0651499;0.00187926;9/12/2023 12:08
